address,brand,business_legal_name,country,currency,email_address,full_product_description,in_stock,item_number,keyword,listing_id,listing_title,listing_url,offers_count,phone_number,price,product_images,product_sku,seller_email,seller_name,seller_profile_picture,seller_profile_url,seller_rating,state_province,total_reviews,units_available,zip_code
,Star Beauty,,,USD,,,True,18RAXV3ES4HW,nike,18RAXV3ES4HW,[HF5509-601] WOMENS NIKE AIR MAX DN8,https://www.walmart.ca/en/ip/HF5509-601-WOMENS-NIKE-AIR-MAX-DN8/18RAXV3ES4HW?classType=VARIANT,1,,188.66,https://i5.walmartimages.com/asr/05581b07-6c5b-4413-82a9-825f0e213aec.e6560a98882d99279db490d82f7b9326.webp?odnHeight=180&odnWidth=180&odnBg=ffffff,,,Kelci Sisson,,https://www.walmart.com/seller/kelci-sisson/E4AAAC401CB74F86A85A6C6DDC15579A,,,,,
,Nike,,,USD,,,True,6ZZKJ2TWQ0KO,nike,6ZZKJ2TWQ0KO,"Nike Men's Everyday Plus Cushion Crew Socks (Medium, White/Black)",https://www.walmart.ca/en/ip/Nike-Men-s-Everyday-Plus-Cushion-Crew-Socks-Medium-White-Black/6ZZKJ2TWQ0KO?classType=REGULAR,1,,28.88,https://i5.walmartimages.com/asr/7fcfe08e-21d3-48ec-9167-ed84942e39b8.85c009e078057795bcb2e3eceede5cbd.jpeg,,,JSDRYWAL,,https://www.walmart.com/seller/jsdrywal/233FC092C40840CB8931F345F4A56A71,,,,,
,Nike,,,USD,,,True,2HARMNWOYV1L,nike,2HARMNWOYV1L,Authentic Nike Air Jordan 4 Retro 'Black Cat' 2025 ?Preorder ?Sizes US7 - US15,https://www.walmart.ca/en/ip/Authentic-Nike-Air-Jordan-4-Retro-Black-Cat-2025-Preorder-Sizes-US7-US15/2HARMNWOYV1L?classType=VARIANT,1,,188,https://i5.walmartimages.com/asr/207c1615-86e3-433e-b327-7866319465bf.90604c6db6823b1cd0fc41e9e02fb9b1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,,AMR service,,https://www.walmart.com/seller/amr-service/03545A859CC844CB8FA71C4B3451D14D,,,,,
,Nike,,,USD,,,True,3YHMVVAAXF68,nike,3YHMVVAAXF68,Nike Air Jordan 4 x Nigel Sylvester OG Brick by Brick Orange,https://www.walmart.ca/en/ip/Nike-Air-Jordan-4-x-Nigel-Sylvester-OG-Brick-by-Brick-Orange/3YHMVVAAXF68?classType=VARIANT,1,,188,https://i5.walmartimages.com/asr/1274b56c-a8a4-473c-9f5b-3a4c5eb7f053.38aca7cd1634db2262e3b795672314c9.webp?odnHeight=180&odnWidth=180&odnBg=ffffff,,,AMR service,,https://www.walmart.com/seller/amr-service/03545A859CC844CB8FA71C4B3451D14D,,,,,
,Nike,,,USD,,,True,36CB9M51ASNQ,nike,36CB9M51ASNQ,Nike Air Jordan 4 Retro 'Cave Stone' Men's FV5029-200 Basketball Shoes?,https://www.walmart.ca/en/ip/Nike-Air-Jordan-4-Retro-Cave-Stone-Men-s-FV5029-200-Basketball-Shoes/36CB9M51ASNQ?classType=VARIANT,1,,188,https://i5.walmartimages.com/asr/eadd9c75-0318-4d3d-b5bf-4e4fe16652e0.765d5359182465e1b200bdfe0afdfb98.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,,AMR service,,https://www.walmart.com/seller/amr-service/03545A859CC844CB8FA71C4B3451D14D,,,,,
