currency,keyword,listing_id,price,seller_id,seller_name,seller_rating,total_reviews,url
$,instyler,16849973669,36.99,B5CD25622BBB4A89BEDFCEA702D9BA66,cuichunli,,,
$,instyler,928084105,32.99,BC758871BE8F4DB9AAA26055FD547E3C,GameDreamLLC,,,
$,instyler,16266913831,36.99,B5CD25622BBB4A89BEDFCEA702D9BA66,cuichunli,,,
$,instyler,39804291,20.91,B38CB175649B4DE39F11A7656D0B049A,Ammery Essence,,,
$,instyler,555746083,34,B337022BEF224BE1A026FBB27ED84B11,JinYue xiechangming,,,
